#Perturbations,#Incorrect relationship,Noise Level
2,7,0.0
6,0,0.0
10,0,0.0
14,0,0.0
18,0,0.0
22,0,0.0
27,0,0.0
31,0,0.0
35,0,0.0
39,0,0.0
43,0,0.0
47,0,0.0
51,0,0.0
55,0,0.0
59,0,0.0
64,0,0.0
68,0,0.0
72,0,0.0
76,0,0.0
80,0,0.0
84,0,0.0
88,0,0.0
92,0,0.0
96,0,0.0
100,0,0.0
2,42,0.0001
6,0,0.0001
10,0,0.0001
14,1,0.0001
18,1,0.0001
22,0,0.0001
27,0,0.0001
31,0,0.0001
35,0,0.0001
39,0,0.0001
43,0,0.0001
47,0,0.0001
51,0,0.0001
55,0,0.0001
59,0,0.0001
64,0,0.0001
68,0,0.0001
72,0,0.0001
76,0,0.0001
80,0,0.0001
84,0,0.0001
88,0,0.0001
92,0,0.0001
96,0,0.0001
100,0,0.0001
2,45,0.001
6,13,0.001
10,11,0.001
14,13,0.001
18,15,0.001
22,15,0.001
27,15,0.001
31,14,0.001
35,13,0.001
39,11,0.001
43,10,0.001
47,9,0.001
51,9,0.001
55,8,0.001
59,6,0.001
64,6,0.001
68,6,0.001
72,6,0.001
76,6,0.001
80,7,0.001
84,4,0.001
88,0,0.001
92,0,0.001
96,0,0.001
100,0,0.001
2,47,0.01
6,38,0.01
10,35,0.01
14,36,0.01
18,34,0.01
22,37,0.01
27,37,0.01
31,32,0.01
35,34,0.01
39,31,0.01
43,30,0.01
47,28,0.01
51,26,0.01
55,25,0.01
59,27,0.01
64,24,0.01
68,26,0.01
72,25,0.01
76,26,0.01
80,24,0.01
84,22,0.01
88,20,0.01
92,15,0.01
96,10,0.01
100,5,0.01
2,49,0.1
6,44,0.1
10,41,0.1
14,41,0.1
18,41,0.1
22,41,0.1
27,40,0.1
31,40,0.1
35,40,0.1
39,39,0.1
43,41,0.1
47,41,0.1
51,41,0.1
55,41,0.1
59,41,0.1
64,40,0.1
68,41,0.1
72,40,0.1
76,40,0.1
80,40,0.1
84,39,0.1
88,40,0.1
92,39,0.1
96,38,0.1
100,32,0.1
